itemID,comunaCode,locality,date
196568999,130106,13114,2025-03-04
196580999,130106,13114,2025-03-04
196584999,130106,13114,2025-03-04
196591002,130106,13114,2025-03-04
196591003,130106,13114,2025-03-04
196591004,130106,13114,2025-03-04
196591005,130106,13114,2025-03-04
196591006,130106,13114,2025-03-04
196591007,130106,13114,2025-03-04
196603003,130106,13114,2025-03-04
196603004,130106,13114,2025-03-04
196608006,130106,13114,2025-03-04
196610003,130106,13114,2025-03-04
196610004,130106,13114,2025-03-04
196654999,130106,13114,2025-03-04
196660004,130106,13114,2025-03-04
196660005,130106,13114,2025-03-04
196670999,130106,13114,2025-03-04
196673999,130106,13114,2025-03-04
196681999,130106,13114,2025-03-04
196734002,130106,13114,2025-03-04
196734003,130106,13114,2025-03-04
196734004,130106,13114,2025-03-04
196734005,130106,13114,2025-03-04
196797999,130106,13114,2025-03-04
196863999,130106,13114,2025-03-04
196865999,130106,13114,2025-03-04
196888999,130106,13114,2025-03-04
196889999,130106,13114,2025-03-04
196899999,130106,13114,2025-03-04
196913999,130106,13114,2025-03-04
196941999,130106,13114,2025-03-04
196947999,130106,13114,2025-03-04
196958999,130106,13114,2025-03-04
196959999,130106,13114,2025-03-04
197000999,130106,13114,2025-03-04
197007999,130106,13114,2025-03-04
197010999,130106,13114,2025-03-04
197014999,130106,13114,2025-03-04
197016999,130106,13114,2025-03-04
197238002,130106,13114,2025-03-04
197238003,130106,13114,2025-03-04
197238004,130106,13114,2025-03-04
197238005,130106,13114,2025-03-04
197238006,130106,13114,2025-03-04
197238007,130106,13114,2025-03-04
197293999,130106,13114,2025-03-04
197304999,130106,13114,2025-03-04
197307999,130106,13114,2025-03-04
197365003,130106,13114,2025-03-04
197365004,130106,13114,2025-03-04
197365005,130106,13114,2025-03-04
197365006,130106,13114,2025-03-04
197365007,130106,13114,2025-03-04
197365008,130106,13114,2025-03-04
198124999,130106,13114,2025-03-04
198160999,130106,13114,2025-03-04
198571999,130106,13114,2025-03-04
199060999,130106,13114,2025-03-04
199140999,130106,13114,2025-03-04
199359999,130106,13114,2025-03-04
199361999,130106,13114,2025-03-04
199394999,130106,13114,2025-03-04
199506999,130106,13114,2025-03-04
199508999,130106,13114,2025-03-04
199529999,130106,13114,2025-03-04
199532999,130106,13114,2025-03-04
199533999,130106,13114,2025-03-04
199537999,130106,13114,2025-03-04
199540999,130106,13114,2025-03-04
199580999,130106,13114,2025-03-04
199581999,130106,13114,2025-03-04
199583999,130106,13114,2025-03-04
199584999,130106,13114,2025-03-04
199602999,130106,13114,2025-03-04
199607999,130106,13114,2025-03-04
199670999,130106,13114,2025-03-04
199672999,130106,13114,2025-03-04
199678999,130106,13114,2025-03-04
199681999,130106,13114,2025-03-04
199683999,130106,13114,2025-03-04
199688999,130106,13114,2025-03-04
199695999,130106,13114,2025-03-04
199728999,130106,13114,2025-03-04
199729999,130106,13114,2025-03-04
199731999,130106,13114,2025-03-04
199734999,130106,13114,2025-03-04
199735999,130106,13114,2025-03-04
199763999,130106,13114,2025-03-04
199766999,130106,13114,2025-03-04
200359002,130106,13114,2025-03-04
200359003,130106,13114,2025-03-04
200359004,130106,13114,2025-03-04
200359005,130106,13114,2025-03-04
200466999,130106,13114,2025-03-04
200468999,130106,13114,2025-03-04
200469999,130106,13114,2025-03-04
200470999,130106,13114,2025-03-04
200471999,130106,13114,2025-03-04
200638002,130106,13114,2025-03-04
200638003,130106,13114,2025-03-04
200638004,130106,13114,2025-03-04
200638005,130106,13114,2025-03-04
200638006,130106,13114,2025-03-04
200638007,130106,13114,2025-03-04
200639002,130106,13114,2025-03-04
200640002,130106,13114,2025-03-04
200640007,130106,13114,2025-03-04
200935002,130106,13114,2025-03-04
200935003,130106,13114,2025-03-04
201005999,130106,13114,2025-03-04
201006999,130106,13114,2025-03-04
201007999,130106,13114,2025-03-04
201008999,130106,13114,2025-03-04
201124005,130106,13114,2025-03-04
201124006,130106,13114,2025-03-04
201138002,130106,13114,2025-03-04
201138003,130106,13114,2025-03-04
201138004,130106,13114,2025-03-04
201138005,130106,13114,2025-03-04
201138006,130106,13114,2025-03-04
201138007,130106,13114,2025-03-04
201138008,130106,13114,2025-03-04
201139002,130106,13114,2025-03-04
201139003,130106,13114,2025-03-04
201139004,130106,13114,2025-03-04
201139005,130106,13114,2025-03-04
201139006,130106,13114,2025-03-04
201139007,130106,13114,2025-03-04
201139008,130106,13114,2025-03-04
201176002,130106,13114,2025-03-04
201176003,130106,13114,2025-03-04
201176004,130106,13114,2025-03-04
201176005,130106,13114,2025-03-04
201176006,130106,13114,2025-03-04
201176007,130106,13114,2025-03-04
201176008,130106,13114,2025-03-04
201177002,130106,13114,2025-03-04
201177003,130106,13114,2025-03-04
201177004,130106,13114,2025-03-04
201177005,130106,13114,2025-03-04
201177006,130106,13114,2025-03-04
201177007,130106,13114,2025-03-04
201177008,130106,13114,2025-03-04
201190002,130106,13114,2025-03-04
201336002,130106,13114,2025-03-04
201338006,130106,13114,2025-03-04
201338007,130106,13114,2025-03-04
201338008,130106,13114,2025-03-04
201338009,130106,13114,2025-03-04
201338011,130106,13114,2025-03-04
201359002,130106,13114,2025-03-04
201425999,130106,13114,2025-03-04
201427999,130106,13114,2025-03-04
201429999,130106,13114,2025-03-04
201493999,130106,13114,2025-03-04
201505999,130106,13114,2025-03-04
201514999,130106,13114,2025-03-04
201540999,130106,13114,2025-03-04
201835999,130106,13114,2025-03-04
202005999,130106,13114,2025-03-04
202006999,130106,13114,2025-03-04
202008999,130106,13114,2025-03-04
202010999,130106,13114,2025-03-04
202018999,130106,13114,2025-03-04
202019999,130106,13114,2025-03-04
202022999,130106,13114,2025-03-04
202072999,130106,13114,2025-03-04
202082999,130106,13114,2025-03-04
202095999,130106,13114,2025-03-04
202124999,130106,13114,2025-03-04
202138999,130106,13114,2025-03-04
202139999,130106,13114,2025-03-04
202140999,130106,13114,2025-03-04
202143999,130106,13114,2025-03-04
202144999,130106,13114,2025-03-04
202145999,130106,13114,2025-03-04
202147002,130106,13114,2025-03-04
202147003,130106,13114,2025-03-04
202147004,130106,13114,2025-03-04
202147005,130106,13114,2025-03-04
202147006,130106,13114,2025-03-04
202147007,130106,13114,2025-03-04
202147010,130106,13114,2025-03-04
202147011,130106,13114,2025-03-04
202147012,130106,13114,2025-03-04
202147013,130106,13114,2025-03-04
202172999,130106,13114,2025-03-04
202507999,130106,13114,2025-03-04
202513999,130106,13114,2025-03-04
202530999,130106,13114,2025-03-04
202533999,130106,13114,2025-03-04
202544999,130106,13114,2025-03-04
202545999,130106,13114,2025-03-04
202546999,130106,13114,2025-03-04
202563999,130106,13114,2025-03-04
202564999,130106,13114,2025-03-04
202583999,130106,13114,2025-03-04
202606999,130106,13114,2025-03-04
202623999,130106,13114,2025-03-04
202626999,130106,13114,2025-03-04
202646999,130106,13114,2025-03-04
202648999,130106,13114,2025-03-04
202651999,130106,13114,2025-03-04
202652999,130106,13114,2025-03-04
202653999,130106,13114,2025-03-04
202697999,130106,13114,2025-03-04
202698999,130106,13114,2025-03-04
202699999,130106,13114,2025-03-04
202700999,130106,13114,2025-03-04
202701999,130106,13114,2025-03-04
202702999,130106,13114,2025-03-04
202704999,130106,13114,2025-03-04
202705999,130106,13114,2025-03-04
202706999,130106,13114,2025-03-04
202707999,130106,13114,2025-03-04
202709999,130106,13114,2025-03-04
202710999,130106,13114,2025-03-04
202713999,130106,13114,2025-03-04
202714999,130106,13114,2025-03-04
202715999,130106,13114,2025-03-04
202716999,130106,13114,2025-03-04
202718999,130106,13114,2025-03-04
202719999,130106,13114,2025-03-04
202726999,130106,13114,2025-03-04
202764999,130106,13114,2025-03-04
202863999,130106,13114,2025-03-04
202864999,130106,13114,2025-03-04
202866999,130106,13114,2025-03-04
202867999,130106,13114,2025-03-04
202869999,130106,13114,2025-03-04
202870999,130106,13114,2025-03-04
202874999,130106,13114,2025-03-04
202879999,130106,13114,2025-03-04
202893999,130106,13114,2025-03-04
202949003,130106,13114,2025-03-04
202951002,130106,13114,2025-03-04
202951003,130106,13114,2025-03-04
202951004,130106,13114,2025-03-04
202951005,130106,13114,2025-03-04
202951006,130106,13114,2025-03-04
202951007,130106,13114,2025-03-04
202951008,130106,13114,2025-03-04
202951013,130106,13114,2025-03-04
202951016,130106,13114,2025-03-04
202951017,130106,13114,2025-03-04
202951018,130106,13114,2025-03-04
202951019,130106,13114,2025-03-04
202951020,130106,13114,2025-03-04
202951021,130106,13114,2025-03-04
202951022,130106,13114,2025-03-04
202951023,130106,13114,2025-03-04
202951024,130106,13114,2025-03-04
202951025,130106,13114,2025-03-04
202951026,130106,13114,2025-03-04
202951027,130106,13114,2025-03-04
202951028,130106,13114,2025-03-04
202951029,130106,13114,2025-03-04
203777022,130106,13114,2025-03-04
203811999,130106,13114,2025-03-04
203812999,130106,13114,2025-03-04
203844999,130106,13114,2025-03-04
203847999,130106,13114,2025-03-04
203848999,130106,13114,2025-03-04
204001999,130106,13114,2025-03-04
204005999,130106,13114,2025-03-04
204130999,130106,13114,2025-03-04
204140999,130106,13114,2025-03-04
204202999,130106,13114,2025-03-04
204204999,130106,13114,2025-03-04
204285999,130106,13114,2025-03-04
204288999,130106,13114,2025-03-04
204289999,130106,13114,2025-03-04
